year,cat,pop
1945,Buddhism,116237936
1945,Christianity,36955033
1945,Christianity,391332035
1945,Christianity,98501171
1945,Christianity,13674466
1945,Christianity,160887585
1945,Islam,62273219
1945,Islam,19436742
1945,Islam,49050320
1945,Judaism,1426350
1945,Judaism,856827
1945,Judaism,7796835
1945,Judaism,1929388
1950,Buddhism,144980765
1950,Buddhism,14031137
1950,Christianity,38307544
1950,Christianity,401935856
1950,Christianity,106610911
1950,Christianity,16324768
1950,Christianity,133301043
1950,Islam,387994
1950,Islam,215867687
1950,Islam,20944082
1950,Islam,56921304
1950,Judaism,1860297
1950,Judaism,2204231
1950,Judaism,7105125
1950,Judaism,2528641
1955,Buddhism,145861839
1955,Buddhism,33522360
1955,Christianity,38177572
1955,Christianity,474378130
1955,Christianity,111661338
1955,Christianity,22437724
1955,Christianity,189347338
1955,Islam,445582
1955,Islam,240487382
1955,Islam,24256503
1955,Islam,78882540
1955,Judaism,1653007
1955,Judaism,2496432
1955,Judaism,6611524
1955,Judaism,2225241
1960,Buddhism,183672909
1960,Buddhism,16766250
1960,Christianity,41846700
1960,Christianity,541957872
1960,Christianity,118268109
1960,Christianity,44601144
1960,Christianity,220293770
1960,Islam,521848
1960,Islam,303101053
1960,Islam,27174803
1960,Islam,104325384
1960,Judaism,1716903
1960,Judaism,2818847
1960,Judaism,6892701
1960,Judaism,2300405
1965,Buddhism,194287704
1965,Buddhism,18305680
1965,Christianity,45086639
1965,Christianity,614115021
1965,Christianity,125954494
1965,Christianity,55119929
1965,Christianity,234437703
1965,Islam,598115
1965,Islam,40000
1965,Islam,367705416
1965,Islam,17097714
1965,Islam,129192812
1965,Judaism,1760345
1965,Judaism,3295632
1965,Judaism,6849626
1965,Judaism,2348076
1970,Buddhism,207939998
1970,Buddhism,20862636
1970,Christianity,46079842
1970,Christianity,671006540
1970,Christianity,134595635
1970,Christianity,76991429
1970,Christianity,247932230
1970,Islam,700450
1970,Islam,374000
1970,Islam,403431693
1970,Islam,36572141
1970,Islam,151264004
1970,Judaism,1923986
1970,Judaism,3663721
1970,Judaism,6670904
1970,Judaism,2574798
1975,Buddhism,237395084
1975,Buddhism,22929200
1975,Christianity,48153338
1975,Christianity,748325898
1975,Christianity,137192284
1975,Christianity,101587361
1975,Christianity,264857729
1975,Islam,2700
1975,Islam,924465
1975,Islam,420500
1975,Islam,379000166
1975,Islam,44373213
1975,Islam,238953304
1975,Judaism,2253657
1975,Judaism,3910099
1975,Judaism,6839862
1975,Judaism,2910930
1980,Buddhism,268001266
1980,Buddhism,30400850
1980,Christianity,51093360
1980,Christianity,798834729
1980,Christianity,137902427
1980,Christianity,125285902
1980,Christianity,278962191
1980,Islam,1584485
1980,Islam,1148480
1980,Islam,668250
1980,Islam,315105986
1980,Islam,50827912
1980,Islam,277804364
1980,Judaism,2439116
1980,Judaism,4300992
1980,Judaism,6713100
1980,Judaism,3153787
1985,Buddhism,301438364
1985,Buddhism,36232325
1985,Christianity,56651880
1985,Christianity,865316946
1985,Christianity,141435053
1985,Christianity,138453851
1985,Christianity,305061321
1985,Islam,1202490
1985,Islam,899500
1985,Islam,364584661
1985,Islam,62653376
1985,Islam,317788564
1985,Judaism,2466942
1985,Judaism,4580474
1985,Judaism,6415455
1985,Judaism,3320124
1990,Buddhism,335944605
1990,Buddhism,39303150
1990,Christianity,63954053
1990,Christianity,928527756
1990,Christianity,147970918
1990,Christianity,162855904
1990,Christianity,391772588
1990,Islam,9123315
1990,Islam,1095087
1990,Islam,394656683
1990,Islam,78407673
1990,Islam,516397560
1990,Judaism,1926083
1990,Judaism,4395315
1990,Judaism,6089896
1990,Judaism,2458253
1995,Buddhism,370731530
1995,Buddhism,41223800
1995,Christianity,69080890
1995,Christianity,962614859
1995,Christianity,182860714
1995,Christianity,185349210
1995,Christianity,385509297
1995,Islam,200000
1995,Islam,11824580
1995,Islam,1229556
1995,Islam,311342152
1995,Islam,116574174
1995,Islam,713820144
1995,Judaism,1900415
1995,Judaism,5143346
1995,Judaism,4635903
1995,Judaism,2392642
2000,Buddhism,4938780
2000,Buddhism,270076925
2000,Buddhism,113240351
2000,Christianity,68291261
2000,Christianity,978633933
2000,Christianity,264356291
2000,Christianity,136031105
2000,Christianity,443610594
2000,Islam,536000
2000,Islam,12568650
2000,Islam,1360367
2000,Islam,30722832
2000,Islam,153872692
2000,Islam,1114987699
2000,Judaism,1849587
2000,Judaism,5433428
2000,Judaism,3856395
2000,Judaism,2306902
2005,Buddhism,14098904
2005,Buddhism,303189054
2005,Buddhism,156829163
2005,Christianity,69037503
2005,Christianity,1013883916
2005,Christianity,255124896
2005,Christianity,161742315
2005,Christianity,490942837
2005,Islam,543367
2005,Islam,15993460
2005,Islam,1415383
2005,Islam,41954417
2005,Islam,164919787
2005,Islam,1201627932
2005,Judaism,1778851
2005,Judaism,6271171
2005,Judaism,3878005
2005,Judaism,2342301
2010,Buddhism,14951768
2010,Buddhism,304682353
2010,Buddhism,165612816
2010,Christianity,71770419
2010,Christianity,1049709823
2010,Christianity,268783851
2010,Christianity,163818774
2010,Christianity,557830085
2010,Islam,500000
2010,Islam,4108974
2010,Islam,1606195
2010,Islam,44843888
2010,Islam,183218930
2010,Islam,1321204779
2010,Judaism,1899567
2010,Judaism,6637406
2010,Judaism,2976676
2010,Judaism,2509660
